cancer_site,period,age,HSCT,sex,prevalence
Blood Leukaemia,10-year,65-74,Belfast HSCT,Male,36.53151010701545
Blood Leukaemia,10-year,65-74,Northern HSCT,Male,54.92152199762187
Blood Leukaemia,10-year,65-74,South Eastern HSCT,Male,43.986920332936975
Blood Leukaemia,10-year,65-74,Southern HSCT,Male,41.75029726516052
Blood Leukaemia,10-year,65-74,Western HSCT,Male,31.809750297265165
Blood Leukaemia,10-year,75+,Belfast HSCT,Male,38.45422116527942
Blood Leukaemia,10-year,75+,Northern HSCT,Male,57.81212841854934
Blood Leukaemia,10-year,75+,South Eastern HSCT,Male,46.30202140309156
Blood Leukaemia,10-year,75+,Southern HSCT,Male,43.947681331747916
Blood Leukaemia,10-year,75+,Western HSCT,Male,33.48394768133175
Blood Leukaemia,10-year,0-54,Belfast HSCT,Female,25.819678342602533
Blood Leukaemia,10-year,0-54,Northern HSCT,Female,35.094708426838395
Blood Leukaemia,10-year,0-54,South Eastern HSCT,Female,30.833208117865166
Blood Leukaemia,10-year,0-54,Southern HSCT,Female,25.569001853839406
Blood Leukaemia,10-year,0-54,Western HSCT,Female,21.5581780336293
Blood Leukaemia,10-year,55-64,Belfast HSCT,Female,15.045999609718017
Blood Leukaemia,10-year,55-64,Northern HSCT,Female,20.4508732559274
Blood Leukaemia,10-year,55-64,South Eastern HSCT,Female,17.967552931993364
Blood Leukaemia,10-year,55-64,Southern HSCT,Female,14.899921943604253
Blood Leukaemia,10-year,55-64,Western HSCT,Female,12.562679285783975
Blood Leukaemia,10-year,65-74,Belfast HSCT,Female,26.562690669008358
Blood Leukaemia,10-year,65-74,Northern HSCT,Female,36.104628093797764
Blood Leukaemia,10-year,65-74,South Eastern HSCT,Female,31.720494682408045
Blood Leukaemia,10-year,65-74,Southern HSCT,Female,26.304800468338378
Blood Leukaemia,10-year,65-74,Western HSCT,Female,22.17855725761863
Blood Leukaemia,10-year,75+,Belfast HSCT,Female,35.664591667479755
Blood Leukaemia,10-year,75+,Northern HSCT,Female,48.47614401405015
Blood Leukaemia,10-year,75+,South Eastern HSCT,Female,42.589755098058355
Blood Leukaemia,10-year,75+,Southern HSCT,Female,35.31833349595083
Blood Leukaemia,10-year,75+,Western HSCT,Female,29.778202751487953
Blood Lymphoma,10-year,0-54,Belfast HSCT,Male,62.26745810055866
Blood Lymphoma,10-year,0-54,Northern HSCT,Male,102.60265363128492
Blood Lymphoma,10-year,0-54,South Eastern HSCT,Male,73.86382681564245
Blood Lymphoma,10-year,0-54,Southern HSCT,Male,68.82192737430168
Blood Lymphoma,10-year,0-54,Western HSCT,Male,53.4441340782123
Blood Lymphoma,10-year,55-64,Belfast HSCT,Male,51.055865921787706
Blood Lymphoma,10-year,55-64,Northern HSCT,Male,84.12849162011173
Blood Lymphoma,10-year,55-64,South Eastern HSCT,Male,60.564245810055866
Blood Lymphoma,10-year,55-64,Southern HSCT,Male,56.43016759776537
Blood Lymphoma,10-year,55-64,Western HSCT,Male,43.821229050279335
Blood Lymphoma,10-year,65-74,Belfast HSCT,Male,60.715083798882695
Blood Lymphoma,10-year,65-74,Northern HSCT,Male,100.04469273743018
Blood Lymphoma,10-year,65-74,South Eastern HSCT,Male,72.0223463687151
Blood Lymphoma,10-year,65-74,Southern HSCT,Male,67.10614525139667
Blood Lymphoma,10-year,65-74,Western HSCT,Male,52.11173184357544
Blood Lymphoma,10-year,75+,Belfast HSCT,Male,72.96159217877094
Blood Lymphoma,10-year,75+,Northern HSCT,Male,120.22416201117318
Blood Lymphoma,10-year,75+,South Eastern HSCT,Male,86.54958100558659
Blood Lymphoma,10-year,75+,Southern HSCT,Male,80.6417597765363
Blood Lymphoma,10-year,75+,Western HSCT,Male,62.622905027932966
Blood Lymphoma,10-year,0-54,Belfast HSCT,Female,44.333333333333336
Blood Lymphoma,10-year,0-54,Northern HSCT,Female,69.73513513513514
Blood Lymphoma,10-year,0-54,South Eastern HSCT,Female,53.2
Blood Lymphoma,10-year,0-54,Southern HSCT,Female,53.43963963963965
Blood Lymphoma,10-year,0-54,Western HSCT,Female,45.29189189189189
Blood Lymphoma,10-year,55-64,Belfast HSCT,Female,29.83333333333334
Blood Lymphoma,10-year,55-64,Northern HSCT,Female,46.92702702702703
Blood Lymphoma,10-year,55-64,South Eastern HSCT,Female,35.800000000000004
Blood Lymphoma,10-year,55-64,Southern HSCT,Female,35.96126126126127
Blood Lymphoma,10-year,55-64,Western HSCT,Female,30.47837837837838
Blood Lymphoma,10-year,65-74,Belfast HSCT,Female,45.166666666666664
Blood Lymphoma,10-year,65-74,Northern HSCT,Female,71.04594594594593
Blood Lymphoma,10-year,65-74,South Eastern HSCT,Female,54.19999999999999
Blood Lymphoma,10-year,65-74,Southern HSCT,Female,54.44414414414415
Blood Lymphoma,10-year,65-74,Western HSCT,Female,46.143243243243234
Blood Lymphoma,10-year,75+,Belfast HSCT,Female,65.66666666666667
Blood Lymphoma,10-year,75+,Northern HSCT,Female,103.29189189189188
Blood Lymphoma,10-year,75+,South Eastern HSCT,Female,78.8
Blood Lymphoma,10-year,75+,Southern HSCT,Female,79.15495495495496
Blood Lymphoma,10-year,75+,Western HSCT,Female,67.08648648648648
Blood Multiple Myeloma,10-year,0-54,Belfast HSCT,Male,6.367139959432049
Blood Multiple Myeloma,10-year,0-54,Northern HSCT,Male,11.774847870182555
Blood Multiple Myeloma,10-year,0-54,South Eastern HSCT,Male,7.937119675456389
Blood Multiple Myeloma,10-year,0-54,Southern HSCT,Male,10.117647058823527
Blood Multiple Myeloma,10-year,0-54,Western HSCT,Male,6.803245436105476
Blood Multiple Myeloma,10-year,55-64,Belfast HSCT,Male,14.215010141987833
Blood Multiple Myeloma,10-year,55-64,Northern HSCT,Male,26.28803245436106
Blood Multiple Myeloma,10-year,55-64,South Eastern HSCT,Male,17.720081135902635
Blood Multiple Myeloma,10-year,55-64,Southern HSCT,Male,22.58823529411765
Blood Multiple Myeloma,10-year,55-64,Western HSCT,Male,15.188640973630832
Blood Multiple Myeloma,10-year,65-74,Belfast HSCT,Male,25.024340770791074
Blood Multiple Myeloma,10-year,65-74,Northern HSCT,Male,46.27789046653144
Blood Multiple Myeloma,10-year,65-74,South Eastern HSCT,Male,31.194726166328593
Blood Multiple Myeloma,10-year,65-74,Southern HSCT,Male,39.764705882352935
Blood Multiple Myeloma,10-year,65-74,Western HSCT,Male,26.738336713995935
Blood Multiple Myeloma,10-year,75+,Belfast HSCT,Male,27.393509127789052
Blood Multiple Myeloma,10-year,75+,Northern HSCT,Male,50.659229208924955
Blood Multiple Myeloma,10-year,75+,South Eastern HSCT,Male,34.148073022312374
Blood Multiple Myeloma,10-year,75+,Southern HSCT,Male,43.529411764705884
Blood Multiple Myeloma,10-year,75+,Western HSCT,Male,29.269776876267752
Blood Multiple Myeloma,10-year,0-54,Belfast HSCT,Female,5.438596491228071
Blood Multiple Myeloma,10-year,0-54,Northern HSCT,Female,7.36842105263158
Blood Multiple Myeloma,10-year,0-54,South Eastern HSCT,Female,5.087719298245614
Blood Multiple Myeloma,10-year,0-54,Southern HSCT,Female,7.105263157894738
Blood Multiple Myeloma,10-year,0-54,Western HSCT,Female,5.000000000000001
Blood Multiple Myeloma,10-year,55-64,Belfast HSCT,Female,12.508771929824563
Blood Multiple Myeloma,10-year,55-64,Northern HSCT,Female,16.94736842105263
Blood Multiple Myeloma,10-year,55-64,South Eastern HSCT,Female,11.701754385964911
Blood Multiple Myeloma,10-year,55-64,Southern HSCT,Female,16.342105263157894
Blood Multiple Myeloma,10-year,55-64,Western HSCT,Female,11.5
Blood Multiple Myeloma,10-year,65-74,Belfast HSCT,Female,15.953216374269008
Blood Multiple Myeloma,10-year,65-74,Northern HSCT,Female,21.614035087719298
Blood Multiple Myeloma,10-year,65-74,South Eastern HSCT,Female,14.923976608187134
Blood Multiple Myeloma,10-year,65-74,Southern HSCT,Female,20.842105263157894
Blood Multiple Myeloma,10-year,65-74,Western HSCT,Female,14.666666666666666
Blood Multiple Myeloma,10-year,75+,Belfast HSCT,Female,28.099415204678365
Blood Multiple Myeloma,10-year,75+,Northern HSCT,Female,38.070175438596486
Blood Multiple Myeloma,10-year,75+,South Eastern HSCT,Female,26.286549707602337
Blood Multiple Myeloma,10-year,75+,Southern HSCT,Female,36.71052631578947
Blood Multiple Myeloma,10-year,75+,Western HSCT,Female,25.833333333333332
Brain Cancer,10-year,0-54,Belfast HSCT,Male,36.30434782608695
Brain Cancer,10-year,0-54,Northern HSCT,Male,39.93478260869565
Brain Cancer,10-year,0-54,South Eastern HSCT,Male,36.30434782608695
Brain Cancer,10-year,0-54,Southern HSCT,Male,30.49565217391304
Brain Cancer,10-year,0-54,Western HSCT,Male,23.96086956521739
Brain Cancer,10-year,55-64,Belfast HSCT,Male,6.304347826086957
Brain Cancer,10-year,55-64,Northern HSCT,Male,6.934782608695652
Brain Cancer,10-year,55-64,South Eastern HSCT,Male,6.304347826086957
Brain Cancer,10-year,55-64,Southern HSCT,Male,5.295652173913043
Brain Cancer,10-year,55-64,Western HSCT,Male,4.160869565217391
Brain Cancer,10-year,65-74,Belfast HSCT,Male,4.999999999999999
Brain Cancer,10-year,65-74,Northern HSCT,Male,5.499999999999999
Brain Cancer,10-year,65-74,South Eastern HSCT,Male,4.999999999999999
Brain Cancer,10-year,65-74,Southern HSCT,Male,4.199999999999999
Brain Cancer,10-year,65-74,Western HSCT,Male,3.2999999999999994
Brain Cancer,10-year,75+,Belfast HSCT,Male,2.3913043478260865
Brain Cancer,10-year,75+,Northern HSCT,Male,2.6304347826086953
Brain Cancer,10-year,75+,South Eastern HSCT,Male,2.3913043478260865
Brain Cancer,10-year,75+,Southern HSCT,Male,2.0086956521739125
