"","var","age","bias","state","term","mode","2.5%","25%","50%","75%","97.5%"
"1","inc_prob",0,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"2","inc_prob",1,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"3","inc_prob",2,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"4","inc_prob",3,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"5","inc_prob",4,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"6","inc_prob",5,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"7","inc_prob",6,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"8","inc_prob",7,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"9","inc_prob",8,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"10","inc_prob",9,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"11","inc_prob",10,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"12","inc_prob",11,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"13","inc_prob",12,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"14","inc_prob",13,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"15","inc_prob",14,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"16","inc_prob",15,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"17","inc_prob",16,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"18","inc_prob",17,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"19","inc_prob",18,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"20","inc_prob",19,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"21","inc_prob",20,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"22","inc_prob",21,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"23","inc_prob",22,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"24","inc_prob",23,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"25","inc_prob",24,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"26","inc_prob",25,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"27","inc_prob",26,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"28","inc_prob",27,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
"29","inc_prob",28,1,NA,NA,2.44998875468105e-05,2.10112867720348e-05,2.30054430017096e-05,2.41892383168497e-05,2.50870627624282e-05,2.5558075970442e-05
