"","var","age","bias","state","term","mode","2.5%","25%","50%","75%","97.5%"
"1","inc_prob",0,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"2","inc_prob",1,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"3","inc_prob",2,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"4","inc_prob",3,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"5","inc_prob",4,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"6","inc_prob",5,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"7","inc_prob",6,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"8","inc_prob",7,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"9","inc_prob",8,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"10","inc_prob",9,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"11","inc_prob",10,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"12","inc_prob",11,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"13","inc_prob",12,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"14","inc_prob",13,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"15","inc_prob",14,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"16","inc_prob",15,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"17","inc_prob",16,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"18","inc_prob",17,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"19","inc_prob",18,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"20","inc_prob",19,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"21","inc_prob",20,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"22","inc_prob",21,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"23","inc_prob",22,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"24","inc_prob",23,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"25","inc_prob",24,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"26","inc_prob",25,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"27","inc_prob",26,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"28","inc_prob",27,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"29","inc_prob",28,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"30","inc_prob",29,1,NA,NA,6.92306345676534e-06,6.18522580338095e-06,6.46869121433994e-06,7.26618100630524e-06,7.95365793610923e-06,8.43433983184163e-06
"31","inc_prob",30,1,NA,NA,9.31619254730108e-06,8.63241320872278e-06,8.89268785454567e-06,9.95309876871334e-06,1.06812348868416e-05,1.10497968174996e-05
"32","inc_prob",31,1,NA,NA,1.2517276273792e-05,1.19814355094822e-05,1.22131514806923e-05,1.35075524745548e-05,1.40412674887275e-05,1.4632497172258e-05
"33","inc_prob",32,1,NA,NA,1.6755278990721e-05,1.62035006200712e-05,1.67157769975278e-05,1.74377077803191e-05,1.91097711566217e-05,1.97247482067718e-05
"34","inc_prob",33,1,NA,NA,2.22848320644378e-05,2.13990899086733e-05,2.23547616878832e-05,2.30140637037277e-05,2.54825882079846e-05,2.72122238637161e-05
"35","inc_prob",34,1,NA,NA,2.93705803130423e-05,2.78293217915047e-05,2.90545313026913e-05,3.11590373164294e-05,3.35117899386986e-05,3.69493463929401e-05
