sex,age,deprivation,hsct,geo,wellbeing,probability,percentage
Females,45-54,Least Deprived,BHSCT,Urban,good_wellbeing,4.928882111391732e-4,0.049288821113917324
Males,55-64,Least Deprived,BHSCT,Urban,good_wellbeing,6.091876766888657e-4,0.06091876766888657
Females,55-64,Least Deprived,BHSCT,Urban,good_wellbeing,5.095024205034153e-4,0.05095024205034153
Males,65-74,Least Deprived,BHSCT,Urban,good_wellbeing,6.313399558411881e-4,0.06313399558411881
Females,65-74,Least Deprived,BHSCT,Urban,good_wellbeing,5.538069788080599e-4,0.05538069788080599
Males,75-110,Least Deprived,BHSCT,Urban,good_wellbeing,6.590303047815914e-4,0.06590303047815914
Females,75-110,Least Deprived,BHSCT,Urban,good_wellbeing,5.92573467324624e-4,0.0592573467324624
Males,16-34,Most Deprived,NHSCT,Urban,good_wellbeing,5.340783946446462e-4,0.05340783946446462
Females,16-34,Most Deprived,NHSCT,Urban,good_wellbeing,4.378480532672325e-4,0.04378480532672325
Males,35-44,Most Deprived,NHSCT,Urban,good_wellbeing,5.38889911713517e-4,0.05388899117135171
Females,35-44,Most Deprived,NHSCT,Urban,good_wellbeing,4.4265957033610314e-4,0.04426595703361031
Males,45-54,Most Deprived,NHSCT,Urban,good_wellbeing,5.052092922314224e-4,0.05052092922314224
Females,45-54,Most Deprived,NHSCT,Urban,good_wellbeing,4.282250191294912e-4,0.04282250191294912
Males,55-64,Most Deprived,NHSCT,Urban,good_wellbeing,5.292668775757756e-4,0.05292668775757756
Females,55-64,Most Deprived,NHSCT,Urban,good_wellbeing,4.426595703361034e-4,0.04426595703361034
Males,65-74,Most Deprived,NHSCT,Urban,good_wellbeing,5.485129458512582e-4,0.054851294585125825
Females,65-74,Most Deprived,NHSCT,Urban,good_wellbeing,4.811517068870689e-4,0.04811517068870689
Males,75-110,Most Deprived,NHSCT,Urban,good_wellbeing,5.725705311956121e-4,0.05725705311956121
Females,75-110,Most Deprived,NHSCT,Urban,good_wellbeing,5.148323263691635e-4,0.05148323263691635
Males,16-34,Quintile 2,NHSCT,Urban,good_wellbeing,5.940872030316854e-4,0.059408720303168544
Females,16-34,Quintile 2,NHSCT,Urban,good_wellbeing,4.8704446374669703e-4,0.0487044463746697
Males,35-44,Quintile 2,NHSCT,Urban,good_wellbeing,5.994393399959348e-4,0.05994393399959348
Females,35-44,Quintile 2,NHSCT,Urban,good_wellbeing,4.923966007109465e-4,0.04923966007109465
