cancer_site,sex,period,age,HSCT,prevalence
Brain Cancer,Male,10-year,0-54,South Eastern HSCT,36
Brain Cancer,Male,10-year,0-54,Southern HSCT,41
Brain Cancer,Male,10-year,0-54,Western HSCT,24
Brain Cancer,Male,10-year,55-64,Belfast HSCT,6
Brain Cancer,Male,10-year,55-64,Northern HSCT,8
Brain Cancer,Male,10-year,55-64,South Eastern HSCT,6
Brain Cancer,Male,10-year,55-64,Southern HSCT,5
Brain Cancer,Male,10-year,55-64,Western HSCT,4
Brain Cancer,Male,10-year,65-74,Belfast HSCT,5
Brain Cancer,Male,10-year,65-74,Northern HSCT,5
Brain Cancer,Male,10-year,65-74,South Eastern HSCT,5
Brain Cancer,Male,10-year,65-74,Southern HSCT,4
Brain Cancer,Male,10-year,65-74,Western HSCT,3
Brain Cancer,Male,10-year,75+,Belfast HSCT,13
Brain Cancer,Male,10-year,75+,Northern HSCT,2
Brain Cancer,Male,10-year,75+,South Eastern HSCT,3
Brain Cancer,Male,10-year,75+,Southern HSCT,-8
Brain Cancer,Male,10-year,75+,Western HSCT,2
Colorectal Cancer,Male,10-year,0-54,Belfast HSCT,47
Colorectal Cancer,Male,10-year,0-54,Northern HSCT,67
Colorectal Cancer,Male,10-year,0-54,South Eastern HSCT,56
Colorectal Cancer,Male,10-year,0-54,Southern HSCT,51
Colorectal Cancer,Male,10-year,0-54,Western HSCT,49
Colorectal Cancer,Male,10-year,55-64,Belfast HSCT,124
Colorectal Cancer,Male,10-year,55-64,Northern HSCT,174
Colorectal Cancer,Male,10-year,55-64,South Eastern HSCT,144
Colorectal Cancer,Male,10-year,55-64,Southern HSCT,135
Colorectal Cancer,Male,10-year,55-64,Western HSCT,124
Colorectal Cancer,Male,10-year,65-74,Belfast HSCT,196
Colorectal Cancer,Male,10-year,65-74,Northern HSCT,278
Colorectal Cancer,Male,10-year,65-74,South Eastern HSCT,233
Colorectal Cancer,Male,10-year,65-74,Southern HSCT,219
Colorectal Cancer,Male,10-year,65-74,Western HSCT,204
Colorectal Cancer,Male,10-year,75+,Belfast HSCT,262
Colorectal Cancer,Male,10-year,75+,Northern HSCT,369
Colorectal Cancer,Male,10-year,75+,South Eastern HSCT,309
Colorectal Cancer,Male,10-year,75+,Southern HSCT,289
Colorectal Cancer,Male,10-year,75+,Western HSCT,273
Gallbladder And Other Biliary Cancer,Male,10-year,0-54,Belfast HSCT,1
Gallbladder And Other Biliary Cancer,Male,10-year,0-54,Northern HSCT,1
Gallbladder And Other Biliary Cancer,Male,10-year,0-54,South Eastern HSCT,1
Gallbladder And Other Biliary Cancer,Male,10-year,0-54,Southern HSCT,-1
Gallbladder And Other Biliary Cancer,Male,10-year,0-54,Western HSCT,2
Gallbladder And Other Biliary Cancer,Male,10-year,55-64,Belfast HSCT,2
Gallbladder And Other Biliary Cancer,Male,10-year,55-64,Northern HSCT,2
Gallbladder And Other Biliary Cancer,Male,10-year,55-64,South Eastern HSCT,3
Gallbladder And Other Biliary Cancer,Male,10-year,55-64,Southern HSCT,1
Gallbladder And Other Biliary Cancer,Male,10-year,55-64,Western HSCT,1
Gallbladder And Other Biliary Cancer,Male,10-year,65-74,Belfast HSCT,6
Gallbladder And Other Biliary Cancer,Male,10-year,65-74,Northern HSCT,6
Gallbladder And Other Biliary Cancer,Male,10-year,65-74,South Eastern HSCT,3
Gallbladder And Other Biliary Cancer,Male,10-year,65-74,Southern HSCT,6
Gallbladder And Other Biliary Cancer,Male,10-year,65-74,Western HSCT,4
Gallbladder And Other Biliary Cancer,Male,10-year,75+,Belfast HSCT,8
Gallbladder And Other Biliary Cancer,Male,10-year,75+,Northern HSCT,8
Gallbladder And Other Biliary Cancer,Male,10-year,75+,South Eastern HSCT,6
Gallbladder And Other Biliary Cancer,Male,10-year,75+,Southern HSCT,5
Gallbladder And Other Biliary Cancer,Male,10-year,75+,Western HSCT,5
Kidney Cancer,Male,10-year,0-54,Belfast HSCT,32
Kidney Cancer,Male,10-year,0-54,Northern HSCT,49
Kidney Cancer,Male,10-year,0-54,South Eastern HSCT,41
Kidney Cancer,Male,10-year,0-54,Southern HSCT,37
Kidney Cancer,Male,10-year,0-54,Western HSCT,31
Kidney Cancer,Male,10-year,55-64,Belfast HSCT,45
Kidney Cancer,Male,10-year,55-64,Northern HSCT,71
Kidney Cancer,Male,10-year,55-64,South Eastern HSCT,59
Kidney Cancer,Male,10-year,55-64,Southern HSCT,53
Kidney Cancer,Male,10-year,55-64,Western HSCT,44
Kidney Cancer,Male,10-year,65-74,Belfast HSCT,61
Kidney Cancer,Male,10-year,65-74,Northern HSCT,94
Kidney Cancer,Male,10-year,65-74,South Eastern HSCT,78
Kidney Cancer,Male,10-year,65-74,Southern HSCT,70
Kidney Cancer,Male,10-year,65-74,Western HSCT,59
Kidney Cancer,Male,10-year,75+,Belfast HSCT,53
Kidney Cancer,Male,10-year,75+,Northern HSCT,84
Kidney Cancer,Male,10-year,75+,South Eastern HSCT,68
Kidney Cancer,Male,10-year,75+,Southern HSCT,61
Kidney Cancer,Male,10-year,75+,Western HSCT,52
Liver Cancer,Male,10-year,0-54,Belfast HSCT,4
Liver Cancer,Male,10-year,0-54,Northern HSCT,3
Liver Cancer,Male,10-year,0-54,South Eastern HSCT,2
Liver Cancer,Male,10-year,0-54,Southern HSCT,4
Liver Cancer,Male,10-year,0-54,Western HSCT,1
Liver Cancer,Male,10-year,55-64,Belfast HSCT,7
Liver Cancer,Male,10-year,55-64,Northern HSCT,7
Liver Cancer,Male,10-year,55-64,South Eastern HSCT,7
Liver Cancer,Male,10-year,55-64,Southern HSCT,5
Liver Cancer,Male,10-year,55-64,Western HSCT,5
Liver Cancer,Male,10-year,65-74,Belfast HSCT,17
Liver Cancer,Male,10-year,65-74,Northern HSCT,18
Liver Cancer,Male,10-year,65-74,South Eastern HSCT,18
Liver Cancer,Male,10-year,65-74,Southern HSCT,14
Liver Cancer,Male,10-year,65-74,Western HSCT,12
Liver Cancer,Male,10-year,75+,Belfast HSCT,18
Liver Cancer,Male,10-year,75+,Northern HSCT,17
Liver Cancer,Male,10-year,75+,South Eastern HSCT,17
Liver Cancer,Male,10-year,75+,Southern HSCT,12
Liver Cancer,Male,10-year,75+,Western HSCT,11
Lung Cancer,Male,10-year,0-54,Belfast HSCT,13
Lung Cancer,Male,10-year,0-54,Northern HSCT,17
Lung Cancer,Male,10-year,0-54,South Eastern HSCT,12
Lung Cancer,Male,10-year,0-54,Southern HSCT,15
Lung Cancer,Male,10-year,0-54,Western HSCT,10
Lung Cancer,Male,10-year,55-64,Belfast HSCT,35
Lung Cancer,Male,10-year,55-64,Northern HSCT,44
Lung Cancer,Male,10-year,55-64,South Eastern HSCT,32
Lung Cancer,Male,10-year,55-64,Southern HSCT,39
Lung Cancer,Male,10-year,55-64,Western HSCT,30
Lung Cancer,Male,10-year,65-74,Belfast HSCT,81
Lung Cancer,Male,10-year,65-74,Northern HSCT,105
Lung Cancer,Male,10-year,65-74,South Eastern HSCT,75
Lung Cancer,Male,10-year,65-74,Southern HSCT,93
Lung Cancer,Male,10-year,65-74,Western HSCT,73
Lung Cancer,Male,10-year,75+,Belfast HSCT,92
Lung Cancer,Male,10-year,75+,Northern HSCT,116
Lung Cancer,Male,10-year,75+,South Eastern HSCT,81
Lung Cancer,Male,10-year,75+,Southern HSCT,102
Lung Cancer,Male,10-year,75+,Western HSCT,80
Oesophageal Cancer,Male,10-year,0-54,Belfast HSCT,6
Oesophageal Cancer,Male,10-year,0-54,Northern HSCT,8
Oesophageal Cancer,Male,10-year,0-54,South Eastern HSCT,10
Oesophageal Cancer,Male,10-year,0-54,Southern HSCT,8
Oesophageal Cancer,Male,10-year,0-54,Western HSCT,8
Oesophageal Cancer,Male,10-year,55-64,Belfast HSCT,15
Oesophageal Cancer,Male,10-year,55-64,Northern HSCT,20
Oesophageal Cancer,Male,10-year,55-64,South Eastern HSCT,22
Oesophageal Cancer,Male,10-year,55-64,Southern HSCT,18
Oesophageal Cancer,Male,10-year,55-64,Western HSCT,17
Oesophageal Cancer,Male,10-year,65-74,Belfast HSCT,23
Oesophageal Cancer,Male,10-year,65-74,Northern HSCT,39
Oesophageal Cancer,Male,10-year,65-74,South Eastern HSCT,41
Oesophageal Cancer,Male,10-year,65-74,Southern HSCT,30
Oesophageal Cancer,Male,10-year,65-74,Western HSCT,30
Oesophageal Cancer,Male,10-year,75+,Belfast HSCT,18
Oesophageal Cancer,Male,10-year,75+,Northern HSCT,28
Oesophageal Cancer,Male,10-year,75+,South Eastern HSCT,28
Oesophageal Cancer,Male,10-year,75+,Southern HSCT,23
Oesophageal Cancer,Male,10-year,75+,Western HSCT,22
Oral Cancer,Male,10-year,0-54,Belfast HSCT,32
Oral Cancer,Male,10-year,0-54,Northern HSCT,33
Oral Cancer,Male,10-year,0-54,South Eastern HSCT,27
Oral Cancer,Male,10-year,0-54,Southern HSCT,29
Oral Cancer,Male,10-year,0-54,Western HSCT,23
Oral Cancer,Male,10-year,55-64,Belfast HSCT,55
Oral Cancer,Male,10-year,55-64,Northern HSCT,57
Oral Cancer,Male,10-year,55-64,South Eastern HSCT,47
Oral Cancer,Male,10-year,55-64,Southern HSCT,51
Oral Cancer,Male,10-year,55-64,Western HSCT,43
Oral Cancer,Male,10-year,65-74,Belfast HSCT,50
Oral Cancer,Male,10-year,65-74,Northern HSCT,52
Oral Cancer,Male,10-year,65-74,South Eastern HSCT,42
Oral Cancer,Male,10-year,65-74,Southern HSCT,47
Oral Cancer,Male,10-year,65-74,Western HSCT,38
Oral Cancer,Male,10-year,75+,Belfast HSCT,31
Oral Cancer,Male,10-year,75+,Northern HSCT,32
Oral Cancer,Male,10-year,75+,South Eastern HSCT,26
Oral Cancer,Male,10-year,75+,Southern HSCT,27
Oral Cancer,Male,10-year,75+,Western HSCT,25
Pancreatic Cancer,Male,10-year,0-54,Belfast HSCT,3
Pancreatic Cancer,Male,10-year,0-54,Northern HSCT,6
Pancreatic Cancer,Male,10-year,0-54,South Eastern HSCT,5
Pancreatic Cancer,Male,10-year,0-54,Southern HSCT,6
Pancreatic Cancer,Male,10-year,0-54,Western HSCT,3
Pancreatic Cancer,Male,10-year,55-64,Belfast HSCT,8
Pancreatic Cancer,Male,10-year,55-64,Northern HSCT,11
Pancreatic Cancer,Male,10-year,55-64,South Eastern HSCT,6
Pancreatic Cancer,Male,10-year,55-64,Southern HSCT,8
Pancreatic Cancer,Male,10-year,55-64,Western HSCT,6
Pancreatic Cancer,Male,10-year,65-74,Belfast HSCT,11
Pancreatic Cancer,Male,10-year,65-74,Northern HSCT,16
Pancreatic Cancer,Male,10-year,65-74,South Eastern HSCT,10
Pancreatic Cancer,Male,10-year,65-74,Southern HSCT,15
Pancreatic Cancer,Male,10-year,65-74,Western HSCT,9
Pancreatic Cancer,Male,10-year,75+,Belfast HSCT,9
Pancreatic Cancer,Male,10-year,75+,Northern HSCT,14
Pancreatic Cancer,Male,10-year,75+,South Eastern HSCT,9
Pancreatic Cancer,Male,10-year,75+,Southern HSCT,12
Pancreatic Cancer,Male,10-year,75+,Western HSCT,8
Stomach Cancer,Male,10-year,0-54,Belfast HSCT,3
Stomach Cancer,Male,10-year,0-54,Northern HSCT,3
Stomach Cancer,Male,10-year,0-54,South Eastern HSCT,3
Stomach Cancer,Male,10-year,0-54,Southern HSCT,2
Stomach Cancer,Male,10-year,0-54,Western HSCT,4
Stomach Cancer,Male,10-year,55-64,Belfast HSCT,8
Stomach Cancer,Male,10-year,55-64,Northern HSCT,8
Stomach Cancer,Male,10-year,55-64,South Eastern HSCT,8
Stomach Cancer,Male,10-year,55-64,Southern HSCT,6
