cancer_site,sex,period,age,HSCT,prevalence
Gallbladder And Other Biliary Cancer,Male,25-year,55-64,Northern HSCT,2
Gallbladder And Other Biliary Cancer,Male,25-year,55-64,South Eastern HSCT,3
Gallbladder And Other Biliary Cancer,Male,25-year,55-64,Southern HSCT,2
Gallbladder And Other Biliary Cancer,Male,25-year,55-64,Western HSCT,2
Gallbladder And Other Biliary Cancer,Male,25-year,65-74,Belfast HSCT,7
Gallbladder And Other Biliary Cancer,Male,25-year,65-74,Northern HSCT,7
Gallbladder And Other Biliary Cancer,Male,25-year,65-74,South Eastern HSCT,4
Gallbladder And Other Biliary Cancer,Male,25-year,65-74,Southern HSCT,7
Gallbladder And Other Biliary Cancer,Male,25-year,65-74,Western HSCT,5
Gallbladder And Other Biliary Cancer,Male,25-year,75+,Belfast HSCT,9
Gallbladder And Other Biliary Cancer,Male,25-year,75+,Northern HSCT,9
Gallbladder And Other Biliary Cancer,Male,25-year,75+,South Eastern HSCT,6
Gallbladder And Other Biliary Cancer,Male,25-year,75+,Southern HSCT,8
Gallbladder And Other Biliary Cancer,Male,25-year,75+,Western HSCT,6
Kidney Cancer,Male,25-year,0-54,Belfast HSCT,39
Kidney Cancer,Male,25-year,0-54,Northern HSCT,58
Kidney Cancer,Male,25-year,0-54,South Eastern HSCT,49
Kidney Cancer,Male,25-year,0-54,Southern HSCT,45
Kidney Cancer,Male,25-year,0-54,Western HSCT,38
Kidney Cancer,Male,25-year,55-64,Belfast HSCT,57
Kidney Cancer,Male,25-year,55-64,Northern HSCT,85
Kidney Cancer,Male,25-year,55-64,South Eastern HSCT,73
Kidney Cancer,Male,25-year,55-64,Southern HSCT,61
Kidney Cancer,Male,25-year,55-64,Western HSCT,49
Kidney Cancer,Male,25-year,65-74,Belfast HSCT,79
Kidney Cancer,Male,25-year,65-74,Northern HSCT,125
Kidney Cancer,Male,25-year,65-74,South Eastern HSCT,99
Kidney Cancer,Male,25-year,65-74,Southern HSCT,97
Kidney Cancer,Male,25-year,65-74,Western HSCT,74
Kidney Cancer,Male,25-year,75+,Belfast HSCT,75
Kidney Cancer,Male,25-year,75+,Northern HSCT,125
Kidney Cancer,Male,25-year,75+,South Eastern HSCT,101
Kidney Cancer,Male,25-year,75+,Southern HSCT,93
Kidney Cancer,Male,25-year,75+,Western HSCT,74
Liver Cancer,Male,25-year,0-54,Belfast HSCT,5
Liver Cancer,Male,25-year,0-54,Northern HSCT,5
Liver Cancer,Male,25-year,0-54,South Eastern HSCT,5
Liver Cancer,Male,25-year,0-54,Southern HSCT,4
Liver Cancer,Male,25-year,0-54,Western HSCT,3
Liver Cancer,Male,25-year,55-64,Belfast HSCT,9
Liver Cancer,Male,25-year,55-64,Northern HSCT,7
Liver Cancer,Male,25-year,55-64,South Eastern HSCT,8
Liver Cancer,Male,25-year,55-64,Southern HSCT,6
Liver Cancer,Male,25-year,55-64,Western HSCT,5
Liver Cancer,Male,25-year,65-74,Belfast HSCT,22
Liver Cancer,Male,25-year,65-74,Northern HSCT,19
Liver Cancer,Male,25-year,65-74,South Eastern HSCT,21
Liver Cancer,Male,25-year,65-74,Southern HSCT,13
Liver Cancer,Male,25-year,65-74,Western HSCT,12
Liver Cancer,Male,25-year,75+,Belfast HSCT,20
Liver Cancer,Male,25-year,75+,Northern HSCT,17
Liver Cancer,Male,25-year,75+,South Eastern HSCT,19
Liver Cancer,Male,25-year,75+,Southern HSCT,15
Liver Cancer,Male,25-year,75+,Western HSCT,11
Lung Cancer,Male,25-year,0-54,Belfast HSCT,17
Lung Cancer,Male,25-year,0-54,Northern HSCT,18
Lung Cancer,Male,25-year,0-54,South Eastern HSCT,14
Lung Cancer,Male,25-year,0-54,Southern HSCT,17
Lung Cancer,Male,25-year,0-54,Western HSCT,14
Lung Cancer,Male,25-year,55-64,Belfast HSCT,40
Lung Cancer,Male,25-year,55-64,Northern HSCT,49
Lung Cancer,Male,25-year,55-64,South Eastern HSCT,37
Lung Cancer,Male,25-year,55-64,Southern HSCT,42
Lung Cancer,Male,25-year,55-64,Western HSCT,37
Lung Cancer,Male,25-year,65-74,Belfast HSCT,93
Lung Cancer,Male,25-year,65-74,Northern HSCT,114
Lung Cancer,Male,25-year,65-74,South Eastern HSCT,86
Lung Cancer,Male,25-year,65-74,Southern HSCT,99
Lung Cancer,Male,25-year,65-74,Western HSCT,83
Lung Cancer,Male,25-year,75+,Belfast HSCT,110
Lung Cancer,Male,25-year,75+,Northern HSCT,135
Lung Cancer,Male,25-year,75+,South Eastern HSCT,101
Lung Cancer,Male,25-year,75+,Southern HSCT,116
Lung Cancer,Male,25-year,75+,Western HSCT,96
Oesophageal Cancer,Male,25-year,0-54,Belfast HSCT,7
Oesophageal Cancer,Male,25-year,0-54,Northern HSCT,11
Oesophageal Cancer,Male,25-year,0-54,South Eastern HSCT,10
Oesophageal Cancer,Male,25-year,0-54,Southern HSCT,7
Oesophageal Cancer,Male,25-year,0-54,Western HSCT,7
Oesophageal Cancer,Male,25-year,55-64,Belfast HSCT,16
Oesophageal Cancer,Male,25-year,55-64,Northern HSCT,24
Oesophageal Cancer,Male,25-year,55-64,South Eastern HSCT,24
Oesophageal Cancer,Male,25-year,55-64,Southern HSCT,19
Oesophageal Cancer,Male,25-year,55-64,Western HSCT,19
Oesophageal Cancer,Male,25-year,65-74,Belfast HSCT,30
Oesophageal Cancer,Male,25-year,65-74,Northern HSCT,46
Oesophageal Cancer,Male,25-year,65-74,South Eastern HSCT,45
Oesophageal Cancer,Male,25-year,65-74,Southern HSCT,37
Oesophageal Cancer,Male,25-year,65-74,Western HSCT,37
Oesophageal Cancer,Male,25-year,75+,Belfast HSCT,27
Oesophageal Cancer,Male,25-year,75+,Northern HSCT,39
Oesophageal Cancer,Male,25-year,75+,South Eastern HSCT,40
Oesophageal Cancer,Male,25-year,75+,Southern HSCT,31
Oesophageal Cancer,Male,25-year,75+,Western HSCT,35
Oral Cancer,Male,25-year,0-54,Belfast HSCT,35
Oral Cancer,Male,25-year,0-54,Northern HSCT,39
Oral Cancer,Male,25-year,0-54,South Eastern HSCT,33
Oral Cancer,Male,25-year,0-54,Southern HSCT,24
Oral Cancer,Male,25-year,0-54,Western HSCT,42
Oral Cancer,Male,25-year,55-64,Belfast HSCT,65
Oral Cancer,Male,25-year,55-64,Northern HSCT,69
Oral Cancer,Male,25-year,55-64,South Eastern HSCT,62
Oral Cancer,Male,25-year,55-64,Southern HSCT,63
Oral Cancer,Male,25-year,55-64,Western HSCT,58
Oral Cancer,Male,25-year,65-74,Belfast HSCT,76
Oral Cancer,Male,25-year,65-74,Northern HSCT,64
Oral Cancer,Male,25-year,65-74,South Eastern HSCT,62
Oral Cancer,Male,25-year,65-74,Southern HSCT,66
Oral Cancer,Male,25-year,65-74,Western HSCT,59
Oral Cancer,Male,25-year,75+,Belfast HSCT,35
Oral Cancer,Male,25-year,75+,Northern HSCT,60
Oral Cancer,Male,25-year,75+,South Eastern HSCT,41
Oral Cancer,Male,25-year,75+,Southern HSCT,52
Oral Cancer,Male,25-year,75+,Western HSCT,30
Pancreatic Cancer,Male,25-year,0-54,Belfast HSCT,4
Pancreatic Cancer,Male,25-year,0-54,Northern HSCT,6
Pancreatic Cancer,Male,25-year,0-54,South Eastern HSCT,4
Pancreatic Cancer,Male,25-year,0-54,Southern HSCT,5
Pancreatic Cancer,Male,25-year,0-54,Western HSCT,4
Pancreatic Cancer,Male,25-year,55-64,Belfast HSCT,9
Pancreatic Cancer,Male,25-year,55-64,Northern HSCT,12
Pancreatic Cancer,Male,25-year,55-64,South Eastern HSCT,8
Pancreatic Cancer,Male,25-year,55-64,Southern HSCT,10
Pancreatic Cancer,Male,25-year,55-64,Western HSCT,8
Pancreatic Cancer,Male,25-year,65-74,Belfast HSCT,12
Pancreatic Cancer,Male,25-year,65-74,Northern HSCT,16
Pancreatic Cancer,Male,25-year,65-74,South Eastern HSCT,12
Pancreatic Cancer,Male,25-year,65-74,Southern HSCT,14
Pancreatic Cancer,Male,25-year,65-74,Western HSCT,10
Pancreatic Cancer,Male,25-year,75+,Belfast HSCT,11
Pancreatic Cancer,Male,25-year,75+,Northern HSCT,16
Pancreatic Cancer,Male,25-year,75+,South Eastern HSCT,11
Pancreatic Cancer,Male,25-year,75+,Southern HSCT,13
Pancreatic Cancer,Male,25-year,75+,Western HSCT,10
Stomach Cancer,Male,25-year,0-54,Belfast HSCT,3
Stomach Cancer,Male,25-year,0-54,Northern HSCT,4
Stomach Cancer,Male,25-year,0-54,South Eastern HSCT,1
Stomach Cancer,Male,25-year,0-54,Southern HSCT,3
Stomach Cancer,Male,25-year,0-54,Western HSCT,6
Stomach Cancer,Male,25-year,55-64,Belfast HSCT,11
Stomach Cancer,Male,25-year,55-64,Northern HSCT,11
Stomach Cancer,Male,25-year,55-64,South Eastern HSCT,9
Stomach Cancer,Male,25-year,55-64,Southern HSCT,8
Stomach Cancer,Male,25-year,55-64,Western HSCT,9
Stomach Cancer,Male,25-year,65-74,Belfast HSCT,16
Stomach Cancer,Male,25-year,65-74,Northern HSCT,16
Stomach Cancer,Male,25-year,65-74,South Eastern HSCT,17
Stomach Cancer,Male,25-year,65-74,Southern HSCT,13
Stomach Cancer,Male,25-year,65-74,Western HSCT,19
Stomach Cancer,Male,25-year,75+,Belfast HSCT,42
Stomach Cancer,Male,25-year,75+,Northern HSCT,50
Stomach Cancer,Male,25-year,75+,South Eastern HSCT,38
Stomach Cancer,Male,25-year,75+,Southern HSCT,32
Stomach Cancer,Male,25-year,75+,Western HSCT,48
All Cancers,Female,10-year,0-54,Belfast HSCT,1388
All Cancers,Female,10-year,0-54,Northern HSCT,1948
All Cancers,Female,10-year,0-54,South Eastern HSCT,1600
All Cancers,Female,10-year,0-54,Southern HSCT,1419
All Cancers,Female,10-year,0-54,Western HSCT,1138
All Cancers,Female,10-year,55-64,Belfast HSCT,1379
All Cancers,Female,10-year,55-64,Northern HSCT,1938
All Cancers,Female,10-year,55-64,South Eastern HSCT,1591
All Cancers,Female,10-year,55-64,Southern HSCT,1411
All Cancers,Female,10-year,55-64,Western HSCT,1133
All Cancers,Female,10-year,65-74,Belfast HSCT,1588
All Cancers,Female,10-year,65-74,Northern HSCT,2243
All Cancers,Female,10-year,65-74,South Eastern HSCT,1854
All Cancers,Female,10-year,65-74,Southern HSCT,1635
All Cancers,Female,10-year,65-74,Western HSCT,1313
All Cancers,Female,10-year,75+,Belfast HSCT,2339
All Cancers,Female,10-year,75+,Northern HSCT,3272
All Cancers,Female,10-year,75+,South Eastern HSCT,2678
All Cancers,Female,10-year,75+,Southern HSCT,2384
All Cancers,Female,10-year,75+,Western HSCT,1914
Bladder Cancer,Female,10-year,0-54,Belfast HSCT,-7
Bladder Cancer,Female,10-year,0-54,Northern HSCT,3
Bladder Cancer,Female,10-year,0-54,South Eastern HSCT,3
Bladder Cancer,Female,10-year,0-54,Southern HSCT,3
Bladder Cancer,Female,10-year,0-54,Western HSCT,12
Bladder Cancer,Female,10-year,55-64,Belfast HSCT,19
Bladder Cancer,Female,10-year,55-64,Northern HSCT,11
Bladder Cancer,Female,10-year,55-64,South Eastern HSCT,10
Bladder Cancer,Female,10-year,55-64,Southern HSCT,7
Bladder Cancer,Female,10-year,55-64,Western HSCT,-4
Bladder Cancer,Female,10-year,65-74,Belfast HSCT,27
Bladder Cancer,Female,10-year,65-74,Northern HSCT,8
Bladder Cancer,Female,10-year,65-74,South Eastern HSCT,16
Bladder Cancer,Female,10-year,65-74,Southern HSCT,13
Bladder Cancer,Female,10-year,65-74,Western HSCT,10
Bladder Cancer,Female,10-year,75+,Belfast HSCT,18
Bladder Cancer,Female,10-year,75+,Northern HSCT,40
Bladder Cancer,Female,10-year,75+,South Eastern HSCT,28
Bladder Cancer,Female,10-year,75+,Southern HSCT,25
Bladder Cancer,Female,10-year,75+,Western HSCT,19
Blood Leukaemia,Female,10-year,0-54,Belfast HSCT,26
Blood Leukaemia,Female,10-year,0-54,Northern HSCT,34
Blood Leukaemia,Female,10-year,0-54,South Eastern HSCT,31
Blood Leukaemia,Female,10-year,0-54,Southern HSCT,26
Blood Leukaemia,Female,10-year,0-54,Western HSCT,22
Blood Leukaemia,Female,10-year,55-64,Belfast HSCT,14
Blood Leukaemia,Female,10-year,55-64,Northern HSCT,21
Blood Leukaemia,Female,10-year,55-64,South Eastern HSCT,19
Blood Leukaemia,Female,10-year,55-64,Southern HSCT,15
Blood Leukaemia,Female,10-year,55-64,Western HSCT,12
Blood Leukaemia,Female,10-year,65-74,Belfast HSCT,27
Blood Leukaemia,Female,10-year,65-74,Northern HSCT,36
Blood Leukaemia,Female,10-year,65-74,South Eastern HSCT,41
Blood Leukaemia,Female,10-year,65-74,Southern HSCT,26
Blood Leukaemia,Female,10-year,65-74,Western HSCT,13
Blood Leukaemia,Female,10-year,75+,Belfast HSCT,36
Blood Leukaemia,Female,10-year,75+,Northern HSCT,49
Blood Leukaemia,Female,10-year,75+,South Eastern HSCT,32
Blood Leukaemia,Female,10-year,75+,Southern HSCT,35
Blood Leukaemia,Female,10-year,75+,Western HSCT,39
Blood Lymphoma,Female,10-year,0-54,Belfast HSCT,44
Blood Lymphoma,Female,10-year,0-54,Northern HSCT,71
Blood Lymphoma,Female,10-year,0-54,South Eastern HSCT,53
Blood Lymphoma,Female,10-year,0-54,Southern HSCT,53
Blood Lymphoma,Female,10-year,0-54,Western HSCT,45
Blood Lymphoma,Female,10-year,55-64,Belfast HSCT,30
Blood Lymphoma,Female,10-year,55-64,Northern HSCT,47
Blood Lymphoma,Female,10-year,55-64,South Eastern HSCT,36
Blood Lymphoma,Female,10-year,55-64,Southern HSCT,36
Blood Lymphoma,Female,10-year,55-64,Western HSCT,31
Blood Lymphoma,Female,10-year,65-74,Belfast HSCT,45
Blood Lymphoma,Female,10-year,65-74,Northern HSCT,70
Blood Lymphoma,Female,10-year,65-74,South Eastern HSCT,45
Blood Lymphoma,Female,10-year,65-74,Southern HSCT,65
Blood Lymphoma,Female,10-year,65-74,Western HSCT,46
Blood Lymphoma,Female,10-year,75+,Belfast HSCT,66
Blood Lymphoma,Female,10-year,75+,Northern HSCT,103
Blood Lymphoma,Female,10-year,75+,South Eastern HSCT,88
Blood Lymphoma,Female,10-year,75+,Southern HSCT,69
Blood Lymphoma,Female,10-year,75+,Western HSCT,67
Blood Multiple Myeloma,Female,10-year,0-54,Belfast HSCT,15
Blood Multiple Myeloma,Female,10-year,0-54,Northern HSCT,7
Blood Multiple Myeloma,Female,10-year,0-54,South Eastern HSCT,5
Blood Multiple Myeloma,Female,10-year,0-54,Southern HSCT,7
Blood Multiple Myeloma,Female,10-year,0-54,Western HSCT,-5
Blood Multiple Myeloma,Female,10-year,55-64,Belfast HSCT,13
Blood Multiple Myeloma,Female,10-year,55-64,Northern HSCT,27
Blood Multiple Myeloma,Female,10-year,55-64,South Eastern HSCT,12
Blood Multiple Myeloma,Female,10-year,55-64,Southern HSCT,6
Blood Multiple Myeloma,Female,10-year,55-64,Western HSCT,11
Blood Multiple Myeloma,Female,10-year,65-74,Belfast HSCT,16
Blood Multiple Myeloma,Female,10-year,65-74,Northern HSCT,12
Blood Multiple Myeloma,Female,10-year,65-74,South Eastern HSCT,15
Blood Multiple Myeloma,Female,10-year,65-74,Southern HSCT,31
Blood Multiple Myeloma,Female,10-year,65-74,Western HSCT,15
Blood Multiple Myeloma,Female,10-year,75+,Belfast HSCT,18
Blood Multiple Myeloma,Female,10-year,75+,Northern HSCT,38
Blood Multiple Myeloma,Female,10-year,75+,South Eastern HSCT,26
Blood Multiple Myeloma,Female,10-year,75+,Southern HSCT,37
Blood Multiple Myeloma,Female,10-year,75+,Western HSCT,36
Brain Cancer,Female,10-year,0-54,Belfast HSCT,18
Brain Cancer,Female,10-year,0-54,Northern HSCT,28
Brain Cancer,Female,10-year,0-54,South Eastern HSCT,22
Brain Cancer,Female,10-year,0-54,Southern HSCT,23
Brain Cancer,Female,10-year,0-54,Western HSCT,13
Brain Cancer,Female,10-year,55-64,Belfast HSCT,4
Brain Cancer,Female,10-year,55-64,Northern HSCT,10
Brain Cancer,Female,10-year,55-64,South Eastern HSCT,8
Brain Cancer,Female,10-year,55-64,Southern HSCT,8
Brain Cancer,Female,10-year,55-64,Western HSCT,5
Brain Cancer,Female,10-year,65-74,Belfast HSCT,2
Brain Cancer,Female,10-year,65-74,Northern HSCT,6
Brain Cancer,Female,10-year,65-74,South Eastern HSCT,4
Brain Cancer,Female,10-year,65-74,Southern HSCT,4
Brain Cancer,Female,10-year,65-74,Western HSCT,5
Brain Cancer,Female,10-year,75+,Belfast HSCT,1
Brain Cancer,Female,10-year,75+,Northern HSCT,2
Brain Cancer,Female,10-year,75+,South Eastern HSCT,2
Brain Cancer,Female,10-year,75+,Southern HSCT,3
Brain Cancer,Female,10-year,75+,Western HSCT,0
Colorectal Cancer,Female,10-year,0-54,Belfast HSCT,55
Colorectal Cancer,Female,10-year,0-54,Northern HSCT,79
Colorectal Cancer,Female,10-year,0-54,South Eastern HSCT,68
Colorectal Cancer,Female,10-year,0-54,Southern HSCT,59
Colorectal Cancer,Female,10-year,0-54,Western HSCT,49
Colorectal Cancer,Female,10-year,55-64,Belfast HSCT,91
Colorectal Cancer,Female,10-year,55-64,Northern HSCT,131
Colorectal Cancer,Female,10-year,55-64,South Eastern HSCT,114
Colorectal Cancer,Female,10-year,55-64,Southern HSCT,97
Colorectal Cancer,Female,10-year,55-64,Western HSCT,82
Colorectal Cancer,Female,10-year,65-74,Belfast HSCT,135
Colorectal Cancer,Female,10-year,65-74,Northern HSCT,195
Colorectal Cancer,Female,10-year,65-74,South Eastern HSCT,169
Colorectal Cancer,Female,10-year,65-74,Southern HSCT,144
Colorectal Cancer,Female,10-year,65-74,Western HSCT,121
Colorectal Cancer,Female,10-year,75+,Belfast HSCT,228
Colorectal Cancer,Female,10-year,75+,Northern HSCT,327
Colorectal Cancer,Female,10-year,75+,South Eastern HSCT,283
Colorectal Cancer,Female,10-year,75+,Southern HSCT,243
Colorectal Cancer,Female,10-year,75+,Western HSCT,203
Gallbladder And Other Biliary Cancer,Female,10-year,0-54,Belfast HSCT,2
Gallbladder And Other Biliary Cancer,Female,10-year,0-54,Northern HSCT,-1
Gallbladder And Other Biliary Cancer,Female,10-year,0-54,South Eastern HSCT,3
Gallbladder And Other Biliary Cancer,Female,10-year,0-54,Southern HSCT,2
Gallbladder And Other Biliary Cancer,Female,10-year,0-54,Western HSCT,1
Gallbladder And Other Biliary Cancer,Female,10-year,55-64,Belfast HSCT,2
Gallbladder And Other Biliary Cancer,Female,10-year,55-64,Northern HSCT,4
Gallbladder And Other Biliary Cancer,Female,10-year,55-64,South Eastern HSCT,3
Gallbladder And Other Biliary Cancer,Female,10-year,55-64,Southern HSCT,2
Gallbladder And Other Biliary Cancer,Female,10-year,55-64,Western HSCT,1
Gallbladder And Other Biliary Cancer,Female,10-year,65-74,Belfast HSCT,5
Gallbladder And Other Biliary Cancer,Female,10-year,65-74,Northern HSCT,5
Gallbladder And Other Biliary Cancer,Female,10-year,65-74,South Eastern HSCT,5
Gallbladder And Other Biliary Cancer,Female,10-year,65-74,Southern HSCT,6
Gallbladder And Other Biliary Cancer,Female,10-year,65-74,Western HSCT,2
Gallbladder And Other Biliary Cancer,Female,10-year,75+,Belfast HSCT,7
Gallbladder And Other Biliary Cancer,Female,10-year,75+,Northern HSCT,9
Gallbladder And Other Biliary Cancer,Female,10-year,75+,South Eastern HSCT,11
Gallbladder And Other Biliary Cancer,Female,10-year,75+,Southern HSCT,11
Gallbladder And Other Biliary Cancer,Female,10-year,75+,Western HSCT,4
Kidney Cancer,Female,10-year,0-54,Belfast HSCT,28
Kidney Cancer,Female,10-year,0-54,Northern HSCT,38
Kidney Cancer,Female,10-year,0-54,South Eastern HSCT,20
Kidney Cancer,Female,10-year,0-54,Southern HSCT,22
Kidney Cancer,Female,10-year,0-54,Western HSCT,18
Kidney Cancer,Female,10-year,55-64,Belfast HSCT,32
Kidney Cancer,Female,10-year,55-64,Northern HSCT,43
Kidney Cancer,Female,10-year,55-64,South Eastern HSCT,23
Kidney Cancer,Female,10-year,55-64,Southern HSCT,24
Kidney Cancer,Female,10-year,55-64,Western HSCT,20
Kidney Cancer,Female,10-year,65-74,Belfast HSCT,44
Kidney Cancer,Female,10-year,65-74,Northern HSCT,59
Kidney Cancer,Female,10-year,65-74,South Eastern HSCT,31
Kidney Cancer,Female,10-year,65-74,Southern HSCT,34
Kidney Cancer,Female,10-year,65-74,Western HSCT,28
Kidney Cancer,Female,10-year,75+,Belfast HSCT,57
Kidney Cancer,Female,10-year,75+,Northern HSCT,76
Kidney Cancer,Female,10-year,75+,South Eastern HSCT,41
Kidney Cancer,Female,10-year,75+,Southern HSCT,43
Kidney Cancer,Female,10-year,75+,Western HSCT,36
Liver Cancer,Female,10-year,0-54,Belfast HSCT,2
Liver Cancer,Female,10-year,0-54,Northern HSCT,3
Liver Cancer,Female,10-year,0-54,South Eastern HSCT,2
Liver Cancer,Female,10-year,0-54,Southern HSCT,3
Liver Cancer,Female,10-year,0-54,Western HSCT,2
Liver Cancer,Female,10-year,55-64,Belfast HSCT,2
Liver Cancer,Female,10-year,55-64,Northern HSCT,3
Liver Cancer,Female,10-year,55-64,South Eastern HSCT,2
Liver Cancer,Female,10-year,55-64,Southern HSCT,2
Liver Cancer,Female,10-year,55-64,Western HSCT,2
Liver Cancer,Female,10-year,65-74,Belfast HSCT,6
Liver Cancer,Female,10-year,65-74,Northern HSCT,6
Liver Cancer,Female,10-year,65-74,South Eastern HSCT,5
Liver Cancer,Female,10-year,65-74,Southern HSCT,2
Liver Cancer,Female,10-year,65-74,Western HSCT,4
Liver Cancer,Female,10-year,75+,Belfast HSCT,5
Liver Cancer,Female,10-year,75+,Northern HSCT,6
Liver Cancer,Female,10-year,75+,South Eastern HSCT,5
Liver Cancer,Female,10-year,75+,Southern HSCT,4
Liver Cancer,Female,10-year,75+,Western HSCT,3
Lung Cancer,Female,10-year,0-54,Belfast HSCT,15
Lung Cancer,Female,10-year,0-54,Northern HSCT,19
Lung Cancer,Female,10-year,0-54,South Eastern HSCT,13
Lung Cancer,Female,10-year,0-54,Southern HSCT,12
Lung Cancer,Female,10-year,0-54,Western HSCT,13
Lung Cancer,Female,10-year,55-64,Belfast HSCT,47
Lung Cancer,Female,10-year,55-64,Northern HSCT,56
Lung Cancer,Female,10-year,55-64,South Eastern HSCT,39
Lung Cancer,Female,10-year,55-64,Southern HSCT,37
Lung Cancer,Female,10-year,55-64,Western HSCT,40
Lung Cancer,Female,10-year,65-74,Belfast HSCT,109
Lung Cancer,Female,10-year,65-74,Northern HSCT,132
Lung Cancer,Female,10-year,65-74,South Eastern HSCT,91
Lung Cancer,Female,10-year,65-74,Southern HSCT,87
Lung Cancer,Female,10-year,65-74,Western HSCT,93
Lung Cancer,Female,10-year,75+,Belfast HSCT,122
Lung Cancer,Female,10-year,75+,Northern HSCT,148
Lung Cancer,Female,10-year,75+,South Eastern HSCT,102
Lung Cancer,Female,10-year,75+,Southern HSCT,97
Lung Cancer,Female,10-year,75+,Western HSCT,104
Oesophageal Cancer,Female,10-year,0-54,Belfast HSCT,0
Oesophageal Cancer,Female,10-year,0-54,Northern HSCT,1
Oesophageal Cancer,Female,10-year,0-54,South Eastern HSCT,1
Oesophageal Cancer,Female,10-year,0-54,Southern HSCT,1
Oesophageal Cancer,Female,10-year,0-54,Western HSCT,1
Oesophageal Cancer,Female,10-year,55-64,Belfast HSCT,5
Oesophageal Cancer,Female,10-year,55-64,Northern HSCT,10
Oesophageal Cancer,Female,10-year,55-64,South Eastern HSCT,7
Oesophageal Cancer,Female,10-year,55-64,Southern HSCT,6
Oesophageal Cancer,Female,10-year,55-64,Western HSCT,6
Oesophageal Cancer,Female,10-year,65-74,Belfast HSCT,7
Oesophageal Cancer,Female,10-year,65-74,Northern HSCT,13
Oesophageal Cancer,Female,10-year,65-74,South Eastern HSCT,10
Oesophageal Cancer,Female,10-year,65-74,Southern HSCT,8
Oesophageal Cancer,Female,10-year,65-74,Western HSCT,9
Oesophageal Cancer,Female,10-year,75+,Belfast HSCT,10
Oesophageal Cancer,Female,10-year,75+,Northern HSCT,20
Oesophageal Cancer,Female,10-year,75+,South Eastern HSCT,15
Oesophageal Cancer,Female,10-year,75+,Southern HSCT,13
Oesophageal Cancer,Female,10-year,75+,Western HSCT,13
Oral Cancer,Female,10-year,0-54,Belfast HSCT,16
Oral Cancer,Female,10-year,0-54,Northern HSCT,20
Oral Cancer,Female,10-year,0-54,South Eastern HSCT,20
Oral Cancer,Female,10-year,0-54,Southern HSCT,13
Oral Cancer,Female,10-year,0-54,Western HSCT,14
Oral Cancer,Female,10-year,55-64,Belfast HSCT,25
Oral Cancer,Female,10-year,55-64,Northern HSCT,29
Oral Cancer,Female,10-year,55-64,South Eastern HSCT,26
Oral Cancer,Female,10-year,55-64,Southern HSCT,19
Oral Cancer,Female,10-year,55-64,Western HSCT,21
Oral Cancer,Female,10-year,65-74,Belfast HSCT,23
Oral Cancer,Female,10-year,65-74,Northern HSCT,28
Oral Cancer,Female,10-year,65-74,South Eastern HSCT,29
Oral Cancer,Female,10-year,65-74,Southern HSCT,18
Oral Cancer,Female,10-year,65-74,Western HSCT,20
Oral Cancer,Female,10-year,75+,Belfast HSCT,16
Oral Cancer,Female,10-year,75+,Northern HSCT,20
Oral Cancer,Female,10-year,75+,South Eastern HSCT,20
Oral Cancer,Female,10-year,75+,Southern HSCT,13
Oral Cancer,Female,10-year,75+,Western HSCT,14
Pancreatic Cancer,Female,10-year,0-54,Belfast HSCT,3
Pancreatic Cancer,Female,10-year,0-54,Northern HSCT,3
Pancreatic Cancer,Female,10-year,0-54,South Eastern HSCT,5
Pancreatic Cancer,Female,10-year,0-54,Southern HSCT,4
Pancreatic Cancer,Female,10-year,0-54,Western HSCT,2
Pancreatic Cancer,Female,10-year,55-64,Belfast HSCT,3
Pancreatic Cancer,Female,10-year,55-64,Northern HSCT,4
Pancreatic Cancer,Female,10-year,55-64,South Eastern HSCT,6
Pancreatic Cancer,Female,10-year,55-64,Southern HSCT,3
Pancreatic Cancer,Female,10-year,55-64,Western HSCT,4
Pancreatic Cancer,Female,10-year,65-74,Belfast HSCT,9
Pancreatic Cancer,Female,10-year,65-74,Northern HSCT,11
Pancreatic Cancer,Female,10-year,65-74,South Eastern HSCT,18
Pancreatic Cancer,Female,10-year,65-74,Southern HSCT,9
Pancreatic Cancer,Female,10-year,65-74,Western HSCT,12
Pancreatic Cancer,Female,10-year,75+,Belfast HSCT,7
Pancreatic Cancer,Female,10-year,75+,Northern HSCT,9
Pancreatic Cancer,Female,10-year,75+,South Eastern HSCT,15
Pancreatic Cancer,Female,10-year,75+,Southern HSCT,8
Pancreatic Cancer,Female,10-year,75+,Western HSCT,11
Stomach Cancer,Female,10-year,0-54,Belfast HSCT,4
Stomach Cancer,Female,10-year,0-54,Northern HSCT,5
Stomach Cancer,Female,10-year,0-54,South Eastern HSCT,5
Stomach Cancer,Female,10-year,0-54,Southern HSCT,4
Stomach Cancer,Female,10-year,0-54,Western HSCT,4
Stomach Cancer,Female,10-year,55-64,Belfast HSCT,4
Stomach Cancer,Female,10-year,55-64,Northern HSCT,6
Stomach Cancer,Female,10-year,55-64,South Eastern HSCT,5
Stomach Cancer,Female,10-year,55-64,Southern HSCT,5
Stomach Cancer,Female,10-year,55-64,Western HSCT,5
Stomach Cancer,Female,10-year,65-74,Belfast HSCT,8
Stomach Cancer,Female,10-year,65-74,Northern HSCT,10
Stomach Cancer,Female,10-year,65-74,South Eastern HSCT,9
Stomach Cancer,Female,10-year,65-74,Southern HSCT,9
Stomach Cancer,Female,10-year,65-74,Western HSCT,8
