sex,age,deprivation,hsct,geo,smoking,probability
Males,55-64,Most Deprived,NHSCT,Urban,current_smoker,3.058959235519457e-4
Females,55-64,Most Deprived,NHSCT,Urban,current_smoker,0.00038236990443993177
Males,65-74,Most Deprived,NHSCT,Urban,current_smoker,2.94971069139376e-4
Females,65-74,Most Deprived,NHSCT,Urban,current_smoker,0.00027312136031423703
Males,75-110,Most Deprived,NHSCT,Urban,current_smoker,1.3109825295083377e-4
Females,75-110,Most Deprived,NHSCT,Urban,current_smoker,9.832368971312528e-5
Males,16-34,Quintile 2,NHSCT,Urban,current_smoker,3.263509701116498e-4
Females,16-34,Quintile 2,NHSCT,Urban,current_smoker,1.9246339262994736e-4
Males,35-44,Quintile 2,NHSCT,Urban,current_smoker,2.51039207778192e-4
Females,35-44,Quintile 2,NHSCT,Urban,current_smoker,2.008313662225535e-4
Males,45-54,Quintile 2,NHSCT,Urban,current_smoker,2.5103920777819205e-4
Females,45-54,Quintile 2,NHSCT,Urban,current_smoker,2.4267123418558566e-4
Males,55-64,Quintile 2,NHSCT,Urban,current_smoker,2.343032605929795e-4
Females,55-64,Quintile 2,NHSCT,Urban,current_smoker,2.928790757412241e-4
Males,65-74,Quintile 2,NHSCT,Urban,current_smoker,2.2593528700037293e-4
Females,65-74,Quintile 2,NHSCT,Urban,current_smoker,2.0919933981516017e-4
Males,75-110,Quintile 2,NHSCT,Urban,current_smoker,1.0041568311127682e-4
Females,75-110,Quintile 2,NHSCT,Urban,current_smoker,7.53117623334576e-5
Males,16-34,Quintile 3,NHSCT,Urban,current_smoker,1.994367039571197e-4
Females,16-34,Quintile 3,NHSCT,Urban,current_smoker,1.1761651771830136e-4
Males,35-44,Quintile 3,NHSCT,Urban,current_smoker,1.534128491977843e-4
Females,35-44,Quintile 3,NHSCT,Urban,current_smoker,1.2273027935822743e-4
Males,45-54,Quintile 3,NHSCT,Urban,current_smoker,1.5341284919778437e-4
Females,45-54,Quintile 3,NHSCT,Urban,current_smoker,1.482990875578582e-4
Males,55-64,Quintile 3,NHSCT,Urban,current_smoker,1.431853259179322e-4
Females,55-64,Quintile 3,NHSCT,Urban,current_smoker,1.789816573974151e-4
Males,65-74,Quintile 3,NHSCT,Urban,current_smoker,1.3807156427800594e-4
Females,65-74,Quintile 3,NHSCT,Urban,current_smoker,1.278440409981537e-4
Males,75-110,Quintile 3,NHSCT,Urban,current_smoker,6.136513967911375e-5
Females,75-110,Quintile 3,NHSCT,Urban,current_smoker,4.60238547593353e-5
