cancer_site,period,age,HSCT,sex,prevalence
Blood Lymphoma,25-year,0-54,Southern HSCT,Male,112.88847410172657
Blood Lymphoma,25-year,0-54,Western HSCT,Male,84.39757349510033
Blood Lymphoma,25-year,55-64,Belfast HSCT,Male,79.8320111992534
Blood Lymphoma,25-year,55-64,Northern HSCT,Male,125.48063462435839
Blood Lymphoma,25-year,55-64,South Eastern HSCT,Male,93.84507699486701
Blood Lymphoma,25-year,55-64,Southern HSCT,Male,89.17405506299582
Blood Lymphoma,25-year,55-64,Western HSCT,Male,66.66822211852545
Blood Lymphoma,25-year,65-74,Belfast HSCT,Male,90.18385440970603
Blood Lymphoma,25-year,65-74,Northern HSCT,Male,141.7517498833411
Blood Lymphoma,25-year,65-74,South Eastern HSCT,Male,106.01399906672887
Blood Lymphoma,25-year,65-74,Southern HSCT,Male,100.7372841810546
Blood Lymphoma,25-year,65-74,Western HSCT,Male,75.31311245916939
Blood Lymphoma,25-year,75+,Belfast HSCT,Male,104.92207186187589
Blood Lymphoma,25-year,75+,Northern HSCT,Male,164.91740550629956
Blood Lymphoma,25-year,75+,South Eastern HSCT,Male,123.33924405039662
Blood Lymphoma,25-year,75+,Southern HSCT,Male,117.20018665422306
Blood Lymphoma,25-year,75+,Western HSCT,Male,87.62109192720484
Blood Lymphoma,25-year,0-54,Belfast HSCT,Female,78.58499833102854
Blood Lymphoma,25-year,0-54,Northern HSCT,Female,119.0469171145641
Blood Lymphoma,25-year,0-54,South Eastern HSCT,Female,82.79490895590507
Blood Lymphoma,25-year,0-54,Southern HSCT,Female,90.27919451124114
Blood Lymphoma,25-year,0-54,Western HSCT,Female,68.06022176883722
Blood Lymphoma,25-year,55-64,Belfast HSCT,Female,57.10390539316199
Blood Lymphoma,25-year,55-64,Northern HSCT,Female,86.50561858666505
Blood Lymphoma,25-year,55-64,South Eastern HSCT,Female,60.16304318208138
Blood Lymphoma,25-year,55-64,Southern HSCT,Female,65.60151036238254
Blood Lymphoma,25-year,55-64,Western HSCT,Female,49.456060920863514
Blood Lymphoma,25-year,65-74,Belfast HSCT,Female,77.33193457631968
Blood Lymphoma,25-year,65-74,Northern HSCT,Female,117.14867470043667
Blood Lymphoma,25-year,65-74,South Eastern HSCT,Female,81.47471678576538
Blood Lymphoma,25-year,65-74,Southern HSCT,Female,88.83966293589107
Blood Lymphoma,25-year,65-74,Western HSCT,Female,66.97497905270544
Blood Lymphoma,25-year,75+,Belfast HSCT,Female,123.15826617710171
Blood Lymphoma,25-year,75+,Northern HSCT,Female,186.5701115599547
Blood Lymphoma,25-year,75+,South Eastern HSCT,Female,129.7560304365893
Blood Lymphoma,25-year,75+,Southern HSCT,Female,141.48538912012282
Blood Lymphoma,25-year,75+,Western HSCT,Female,106.66385552838274
Blood Multiple Myeloma,25-year,0-54,Belfast HSCT,Male,6.916666666666666
Blood Multiple Myeloma,25-year,0-54,Northern HSCT,Male,12.916666666666663
Blood Multiple Myeloma,25-year,0-54,South Eastern HSCT,Male,9.666666666666664
Blood Multiple Myeloma,25-year,0-54,Southern HSCT,Male,10.999999999999998
Blood Multiple Myeloma,25-year,0-54,Western HSCT,Male,7.5
Blood Multiple Myeloma,25-year,55-64,Belfast HSCT,Male,16.28298611111111
Blood Multiple Myeloma,25-year,55-64,Northern HSCT,Male,30.407986111111107
Blood Multiple Myeloma,25-year,55-64,South Eastern HSCT,Male,22.756944444444443
Blood Multiple Myeloma,25-year,55-64,Southern HSCT,Male,25.895833333333332
Blood Multiple Myeloma,25-year,55-64,Western HSCT,Male,17.65625
Blood Multiple Myeloma,25-year,65-74,Belfast HSCT,Male,28.098958333333332
Blood Multiple Myeloma,25-year,65-74,Northern HSCT,Male,52.47395833333332
Blood Multiple Myeloma,25-year,65-74,South Eastern HSCT,Male,39.27083333333333
Blood Multiple Myeloma,25-year,65-74,Southern HSCT,Male,44.6875
Blood Multiple Myeloma,25-year,65-74,Western HSCT,Male,30.46875
Blood Multiple Myeloma,25-year,75+,Belfast HSCT,Male,31.701388888888893
Blood Multiple Myeloma,25-year,75+,Northern HSCT,Male,59.20138888888889
Blood Multiple Myeloma,25-year,75+,South Eastern HSCT,Male,44.30555555555556
Blood Multiple Myeloma,25-year,75+,Southern HSCT,Male,50.41666666666668
Blood Multiple Myeloma,25-year,75+,Western HSCT,Male,34.37500000000001
Blood Multiple Myeloma,25-year,0-54,Belfast HSCT,Female,5.398009950248756
Blood Multiple Myeloma,25-year,0-54,Northern HSCT,Female,8.019900497512438
Blood Multiple Myeloma,25-year,0-54,South Eastern HSCT,Female,6.014925373134328
Blood Multiple Myeloma,25-year,0-54,Southern HSCT,Female,6.940298507462686
Blood Multiple Myeloma,25-year,0-54,Western HSCT,Female,4.626865671641791
Blood Multiple Myeloma,25-year,55-64,Belfast HSCT,Female,14.1044776119403
Blood Multiple Myeloma,25-year,55-64,Northern HSCT,Female,20.955223880597014
Blood Multiple Myeloma,25-year,55-64,South Eastern HSCT,Female,15.716417910447763
Blood Multiple Myeloma,25-year,55-64,Southern HSCT,Female,18.134328358208958
Blood Multiple Myeloma,25-year,55-64,Western HSCT,Female,12.089552238805972
Blood Multiple Myeloma,25-year,65-74,Belfast HSCT,Female,18.283582089552237
Blood Multiple Myeloma,25-year,65-74,Northern HSCT,Female,27.16417910447761
Blood Multiple Myeloma,25-year,65-74,South Eastern HSCT,Female,20.37313432835821
Blood Multiple Myeloma,25-year,65-74,Southern HSCT,Female,23.507462686567163
Blood Multiple Myeloma,25-year,65-74,Western HSCT,Female,15.671641791044774
Blood Multiple Myeloma,25-year,75+,Belfast HSCT,Female,32.213930348258714
Blood Multiple Myeloma,25-year,75+,Northern HSCT,Female,47.86069651741294
Blood Multiple Myeloma,25-year,75+,South Eastern HSCT,Female,35.8955223880597
Blood Multiple Myeloma,25-year,75+,Southern HSCT,Female,41.417910447761194
Blood Multiple Myeloma,25-year,75+,Western HSCT,Female,27.611940298507466
Brain Cancer,25-year,0-54,Belfast HSCT,Male,56.05249343832021
Brain Cancer,25-year,0-54,Northern HSCT,Male,77.44094488188976
Brain Cancer,25-year,0-54,South Eastern HSCT,Male,60.477690288713916
Brain Cancer,25-year,0-54,Southern HSCT,Male,43.51443569553806
Brain Cancer,25-year,0-54,Western HSCT,Male,43.51443569553806
Brain Cancer,25-year,55-64,Belfast HSCT,Male,8.976377952755906
Brain Cancer,25-year,55-64,Northern HSCT,Male,12.401574803149606
